Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKBU38AF	Engine Part	Crankshaft	2170 *O12 SERIES II `95+	Buick		3.8L											2170			FI CASTING# 2170					Call for inventory	75
CKBU41AA	Engine Part	Crankshaft	"""877+ *O12 3/4"""" BOLT RWD+229 3.8L `78-89"""	Buick		"3.2L, 4.1L"											"125, 229, 674, 877"			""" CASTING# 125, 229, 674, 877 """					Call for inventory	35
CKBU56AA	Engine Part	Crankshaft	"""419+ *O16 350 CID V8 5/8"""" BOLT ALOS 5.7L `66-81"""	Buick		5.7L											"419, 718, 809, 346"			""" CASTING 419, 718, 809, 346"""					Call for inventory	35
CKBU57AA	Engine Part	Crankshaft	"""419+ *O16 350 CID V8 5/8"""" BOLT ASO 5.6L `66-81"""	Buick		5.7L											"419, 718, 809, 346"			""" CASTING 419, 718, 809, 346"""					Call for inventory	35
CKBU57AB	Engine Part	Crankshaft	119 *O16 350 CID 3/4IN BOLT `68-81	Buick		5.7L											1261119			CASTING# 1261119					Call for inventory	35
CKBU75AA	Engine Part	Crankshaft	242 *O15 400/430/455 CID	Buick		7.5L														C					Call for inventory	75
CKCA30AA	Engine Part	Crankshaft	220 *D24 CATERA/OPEL V6 `97+	Cadillac		3.0L														FI					Call for inventory	75
CKCA30AB	Engine Part	Crankshaft	"""792+ *D24 R=2.125"""",M=2.676"""", `98+"""	Cadillac		3.0L														FI					Call for inventory	75
CKCA36AA	Engine Part	Crankshaft	CADILLAC SRX V6	Cadillac		3.6L														FI					Call for inventory	75
CKCA41AA	Engine Part	Crankshaft	590+ *O16 4.1/4.5L 3 BOLT FLANGE `82-92	Cadillac		"4.1L, 4.5L"																			Call for inventory	35
CKCA41AB	Engine Part	Crankshaft	590+ *O16 4.1/4.5L 6 BOLT FLANGE `84-92	Cadillac		4.1L											"091, 455, 590, 737"			"""CASTING 091, 455, 590, 737"""					Call for inventory	35
CKCA45AB	Engine Part	Crankshaft	590+ *O16 4.1/4.5L 6 BOLT FLANGE `84-92	Cadillac		4.5L											"091, 455, 590, 737"			"""CASTING 091, 455, 590, 737"""					Call for inventory	35
CKCA46AA	Engine Part	Crankshaft	774+ *D32 NORTHSTAR +211 `93-99	Cadillac		4.6L														FI					Call for inventory	75
CKCA46AB	Engine Part	Crankshaft	681 *D32 NORTHSTAR `00+	Cadillac		4.6L														FI					Call for inventory	75
CKCA46AC	Engine Part	Crankshaft	561 *D32 NORTHSTAR	Cadillac		4.6L														FI					Call for inventory	75
CKCA46AD	Engine Part	Crankshaft	681 *D32 NORTHSTAR STEEL CRANK `00+	Cadillac		4.6L																			Call for inventory	75
CKCA49AA	Engine Part	Crankshaft	090 *O16 NO M/J GROOVES `91-95	Cadillac		4.9L														FI					Call for inventory	50
CKCA64AA	Engine Part	Crankshaft	9265 *016 390 CID V8 `59-62	Cadillac		6.4L														C					Call for inventory	50
CKCA70AA	Engine Part	Crankshaft	6340 *016 429 CID V8 `63-67	Cadillac		7.0L														C					Call for inventory	100
CKCA70BA	Engine Part	Crankshaft	142 *O16 368/425 CID V8	Cadillac		7.0L														C					Call for inventory	50
CKCA77AA	Engine Part	Crankshaft	424 *O16 472 CID V8 `68-74	Cadillac		7.7L														C					Call for inventory	50
CKCA80AA	Engine Part	Crankshaft	"""094+ *O16 500 CID +095,793"""	Cadillac		8.0L														C					Call for inventory	50
CKCH16AA	Engine Part	Crankshaft	"""184+ *S08 CHEVETTE W/1.090""""PIL"""	Chevrolet		1.6L														C					Call for inventory	20
CKCH16AB	Engine Part	Crankshaft	"""140N+*S08 T-1000 W/ .825"""" PILO"""	Chevrolet		1.6L																			Call for inventory	20
CKCH18BA	Engine Part	Crankshaft	705N *O08 1.8L CHEVY	Chevrolet		1.8L														C					Call for inventory	20
CKCH20AA	Engine Part	Crankshaft	278N *O08 2PC.SEAL	Chevrolet		2.0L														C					Call for inventory	20
CKCH20AB	Engine Part	Crankshaft	243N *O08 1PC.SEAL	Chevrolet		2.0L														FI					Call for inventory	20
CKCH20AC	Engine Part	Crankshaft	003+ *O08 W/WHEEL +606	Chevrolet		2.0L														FI					Call for inventory	20
CKCH22AA	Engine Part	Crankshaft	"""237+ *O08 2KEY,RET.11:00 NOTCH"""	Chevrolet		2.2L														FI					Call for inventory	35
CKCH22AB	Engine Part	Crankshaft	237 *O08 1 KEY RARE	Chevrolet		2.2L														FI					Call for inventory	35
