Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price 
HBM32AB	Engine Part	Cylinder Head	473 *--- 6 CYL	BMW		3.2L																			Call for inventory	150
HBM34AB	Engine Part	Cylinder Head	699+ *S-- I-6	BMW		3.4L														FI					Call for inventory	150
HBM35AA	Engine Part	Cylinder Head	*6 CYL	BMW		3.5L									Twin	32				FI					Call for inventory	150
HBM35AB	Engine Part	Cylinder Head	*6 CYL.	BMW		3.5L									Twin	24				FI					Call for inventory	150
HBM40AA	Engine Part	Cylinder Head	311+ *--- 8 CYL. +314	BMW		4.0L														FI					Call for inventory	150
HBM44AA	Engine Part	Cylinder Head	461/5*M63B44 BMW V8 L=465	BMW		4.4L									Twin	32				FI					Call for inventory	150
HBM50AA	Engine Part	Cylinder Head	889 *--- 12 CYL.	BMW		5.0L														FI					Call for inventory	200
HBU38ADS	Engine Part	Cylinder Head	"""900+ *W/AIR +STD.3/8""""END B"""	Buick		3.8L														"""FI OHV, 12V"""					Call for inventory	35
HBU38AE	Engine Part	Cylinder Head	900+ *3.8/4.1L W/10MM END	Buick		3.2L														"""FI OHV, 12V"""					Call for inventory	35.5
HBU38AF	Engine Part	Cylinder Head	030+ *3.0/3.8L	Buick		"3.0L, 3.8L"														"""FI OHV, 12V"""					Call for inventory	35
HBU38AG	Engine Part	Cylinder Head	"""485+ *3.3/3.8L +250,723"""	Buick		"3.3L, 3.8L"														"""FI OHV, 12V"""					Call for inventory	35
HBU38AH	Engine Part	Cylinder Head	619+ *3.3/3.8L +250 NO IN.	Buick		"3.3L, 3.8L"														"""FI OHV, 12V"""					Call for inventory	50
HBU38AHH	Engine Part	Cylinder Head	250+ *+619 W/ PCV HOLE	Buick		"3.3L, 3.8L"														"""FI OHV, 12V"""					Call for inventory	50
HBU38AJH	Engine Part	Cylinder Head	136 *8 BOLT INTAKE	Buick		"3.3L, 3.8L"														"""FI OHV, 12V"""					Call for inventory	50
HBU38BA	Engine Part	Cylinder Head	"""261+ *+781, 039, 184 NON S/C"""	Buick		3.8L														"""FI OHV, 12V"""					Call for inventory	60
HBU38BAA	Engine Part	Cylinder Head	"""261+ *+781, 039, 184 W/ INJ. HOLES"""	Buick		3.8L														"""FI OHV, 12V"""					Call for inventory	90
HBU38BB	Engine Part	Cylinder Head	134 *V6 NON S/C	Buick		3.8L														"""FI OHV, 12V"""					Call for inventory	75
HBU38BBA	Engine Part	Cylinder Head	134 *V6 S/C (INJ.HOLES)	Buick		3.8L														"""FI OHV, 12V"""					Call for inventory	90
HBU57AB	Engine Part	Cylinder Head	861+ *350 CID	Buick		5.7L														"""C OHV, 16V"""					Call for inventory	50
HBU57ABS	Engine Part	Cylinder Head	861+ *350 CID W/ AIR	Buick		5.7L														"""C OHV, 16V"""					Call for inventory	50
HBU75AB	Engine Part	Cylinder Head	148+ *455 CID NO AIR	Buick		7.5L														"""C OHV, 16V"""					Call for inventory	50
HBU75ABS	Engine Part	Cylinder Head	148+ *455 CID W/ AIR	Buick		7.5L														"""C OHV, 16V"""					Call for inventory	75
HCA30AA	Engine Part	Cylinder Head	846+ *V6 CATERA L=847	Cadillac		3.0L														DOHC 24V					Call for inventory	100
HCA30AB	Engine Part	Cylinder Head	954+ *GM R= 231	Cadillac		3.0L									Twin	24				FI					Call for inventory	100
HCA36AA	Engine Part	Cylinder Head	*--- CADILLAC SRX V6	Cadillac		3.6L									Twin	24				FI					Call for inventory	150
HCA41AA	Engine Part	Cylinder Head	694+ *5 BOLT PLATE +910	Cadillac		4.1L									Overhead Valve	16				FI					Call for inventory	50
HCA41AB	Engine Part	Cylinder Head	"""191+ *9 BOLT +556,558"""	Cadillac		4.1L														OHV 16V					Call for inventory	50
HCA41AC	Engine Part	Cylinder Head	614+ *091/531 INT.MAN.+693	Cadillac		4.1L														"""OHV 16V, FITS 4.5L ALSO"""					Call for inventory	50
HCA45AC	Engine Part	Cylinder Head	614+ *091/531 INT.MAN.+693	Cadillac		4.5L														"""OHV 16V, FITS 4.1L ALSO"""					Call for inventory	50
HCA45AD	Engine Part	Cylinder Head	739 *KIDNEY CHAMBER	Cadillac		4.5L									Overhead Valve	16				FI					Call for inventory	50
HCA45AES	Engine Part	Cylinder Head	820 *HEART CHAMBER W/ AIR	Cadillac		4.5L														OHV 16V					Call for inventory	50
HCA46AA	Engine Part	Cylinder Head	989 *V8 NORTHSTAR R=990	Cadillac		4.6L									Twin	32				FI					Call for inventory	100
HCA46AB	Engine Part	Cylinder Head	489 *V8 NORTHSTAR R=488	Cadillac		4.6L									Twin	32				FI					Call for inventory	100
HCA46AC	Engine Part	Cylinder Head	154 *V8 NORTHSTAR R=155	Cadillac		4.6L									Twin	32				FI					Call for inventory	100
HCA46AD	Engine Part	Cylinder Head	607 *V8 NORTHSTAR R=?	Cadillac		4.6L									Twin	32				FI					Call for inventory	100
HCA46AE	Engine Part	Cylinder Head	"""402+ *NORTHSTAR R=403,+205"""	Cadillac		4.6L														DOHC 32V					Call for inventory	100
HCA49AES	Engine Part	Cylinder Head	820 *HEART CHAMBER W/ AIR	Cadillac		4.9L														OHV 16V					Call for inventory	50
HCA60AA	Engine Part	Cylinder Head	158+ *368 CID SNGL.BLT.ROC	Cadillac		6.0L									Overhead Valve	16				C					Call for inventory	50
HCA70AA	Engine Part	Cylinder Head	112+ *425 CID +423	Cadillac		7.0L									Overhead Valve	16				C					Call for inventory	50
HCA80AA	Engine Part	Cylinder Head	123+ *472/500 CID V8	Cadillac		8.0L														OHV 16V CARB					Call for inventory	75
HCH16AA	Engine Part	Cylinder Head	151+ *CHEVETTE(+1.4/5L)+67	Chevrolet		1.6L									Single	08				CARB					Call for inventory	75
HCH16AB	Engine Part	Cylinder Head	343+ *CHEVETTE +395	Chevrolet		1.6L									Single	08									Call for inventory	100
HCH16AC	Engine Part	Cylinder Head	110+ *CHEVETTE +363	Chevrolet		1.6L									Single	08				C					Call for inventory	75
HCH18BA	Engine Part	Cylinder Head	509 *CHEVETTE 1.8L GAS	Chevrolet		1.6L									Overhead Valve	08				C					Call for inventory	75
HCH20AA	Engine Part	Cylinder Head	"""041+ *CAST IRON 2.0L+265,7"""	Chevrolet		2.0L														CARB					Call for inventory	75
HCH22AA	Engine Part	Cylinder Head	"""049+ *ALUM,2.0/2.2L +738"""	Chevrolet		"2.0L, 2.2L"														FI					Call for inventory	125
HCH22AB	Engine Part	Cylinder Head	391 *ALUMINUM	Chevrolet		c														FI					Call for inventory	125
HCH22AC	Engine Part	Cylinder Head	391S *O08 ALUMINUM S-10 CHEVY	"GM, Chevrolet"	I4	2.2L	2200										"10112391S, 391S"			FI	1995	1999	Cast	1304	Call for inventory	125
HCH22AD	Engine Part	Cylinder Head	146 *_WD ONLY	Chevrolet		2.2L														FI					Call for inventory	125
HCH22AE	Engine Part	Cylinder Head	507 *_WD ONLY	Chevrolet		2.2L														FI					Call for inventory	125
HCH28AA	Engine Part	Cylinder Head	"""258+ *2.8L 1.3""""VALVE CARB."""	Chevrolet		2.8L														CARB					Call for inventory	35
HCH28BA	Engine Part	Cylinder Head	*--- LATE 4 CYL COLORADO	Chevrolet		2.8L									Overhead Valve	12				FI					Call for inventory	175
HCH31AA	Engine Part	Cylinder Head	"""879+ *2.8-3.4L 1.6""""IN.V. F"""	Chevrolet		2.8L														FI					Call for inventory	35
HCH31AB	Engine Part	Cylinder Head	651+ *2.8/3.1L ROUND PORTS	Chevrolet		"2.8L, 3.1L"														FI					Call for inventory	50
HCH31AC	Engine Part	Cylinder Head	743 *D PORT ADJ.	Chevrolet		3.1L														FI					Call for inventory	60
HCH31AD	Engine Part	Cylinder Head	769 *D PORTS B/D R/ ROCKER	Chevrolet		3.1L														FI					Call for inventory	60
HCH31AE	Engine Part	Cylinder Head	170+ *O12 3.1/3.4L B/D R/R +487 `99-	"GM, Chevrolet"	V6	"3.1L, 3.4L"	"3100, 3400"										"170, 487"			FI			ALUM	1304	Call for inventory	60
HCH31AES	Engine Part	Cylinder Head	170+ *3.1/ 3.4L BDRR+487 W/	Chevrolet		3.1L														FI					Call for inventory	60
HCH33AA	Engine Part	Cylinder Head	347 *200 CID V6	Chevrolet		3.3L									Overhead Valve	12				CARB					Call for inventory	25
HCH34AC	Engine Part	Cylinder Head	"""472 *W/O CAMS,3.4L CHV6"""	Chevrolet		3.4L														FI					Call for inventory	60
HCH34AD	Engine Part	Cylinder Head	315+ *ALUM. +710	Chevrolet		3.4L														FI					Call for inventory	60
HCH35BA	Engine Part	Cylinder Head	523 *V6 ALUM.	Chevrolet		3.5L									Overhead Valve	12									Call for inventory	100
HCH38AA	Engine Part	Cylinder Head	763+ *230 CID I6 NO T/S UN	Chevrolet		3.8L														C					Call for inventory	75
HCH38BA	Engine Part	Cylinder Head	553+ *229 CID V6	Chevrolet		3.8L														CARB					Call for inventory	25
HCH39AA	Engine Part	Cylinder Head	887+ *235 CID I6 THERMO.SL	Chevrolet		3.9L									Overhead Valve	12				CARB					Call for inventory	150
HCH39BA	Engine Part	Cylinder Head	*V6 LATE	Chevrolet		3.9L									Overhead Valve	12									Call for inventory	175
HCH41AA	Engine Part	Cylinder Head	763+ *250 CID NO AIR	Chevrolet		4.1L									Overhead Valve	12				CARB					Call for inventory	90
HCH41AAS	Engine Part	Cylinder Head	763+ *250 CID W/ AIR	Chevrolet		4.1L									Overhead Valve	12				CARB					Call for inventory	90
HCH41AB	Engine Part	Cylinder Head	696+ *250 CID INT 1BBL.W/7	Chevrolet		4.1L														CARB					Call for inventory	150
HCH41ADS	Engine Part	Cylinder Head	364+ *250 CID INT 2BBL W/4	Chevrolet		4.1L														C					Call for inventory	150
HCH41AES	Engine Part	Cylinder Head	499+ *250 CID INT 2BBL W/5	Chevrolet		4.1L														C					Call for inventory	150
HCH42AA	Engine Part	Cylinder Head	245 *ALUM.I6 VORTEC 4200	Chevrolet		4.2L														FI					Call for inventory	150
HCH43BA	Engine Part	Cylinder Head	248+ *+268 EDGEBOLT V/C `85-86	Chevrolet		4.3L														C					Call for inventory	35
HCH43BB	Engine Part	Cylinder Head	103 *ADJ. ROCKER STUDS `87-93	Chevrolet		4.3L																			Call for inventory	40
HCH43BC	Engine Part	Cylinder Head	"""066+ *H/D +070, 115 (3/8"""" EX.VALVES) `89-94"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BD	Engine Part	Cylinder Head	103 *ROLLER CAM. ROCKER STUDS `87-93	Chevrolet		4.3L																			Call for inventory	40
HCH43BF	Engine Part	Cylinder Head	"""768+ *+067, 050, ADJ. ROCKERS `87-93"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BG	Engine Part	Cylinder Head	"""181+ *+064, 209, 626, ROLLER CAM ROCKER STUDS `92-95"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BJ	Engine Part	Cylinder Head	"""181+ *+064, 209, 626, ADJ. ROCKERS `92-95"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BL	Engine Part	Cylinder Head	"""772+ *HEART, NO CROSSOVER PORT `96-98"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BN	Engine Part	Cylinder Head	"""113 *ROLLER CAM ROCKER STUDS, HEART `99-02"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BP	Engine Part	Cylinder Head	"""890 *GEN II, `94-96"""	Chevrolet		4.3L														FI					Call for inventory	75
HCH43BT	Engine Part	Cylinder Head	"""768+ *+067, 050, ROLLER CAM ROCKER STUDS `87-93"""	Chevrolet		4.3L																			Call for inventory	75
HCH43CA	Engine Part	Cylinder Head	"""291+ *4300CC V8 +890, `94-95"""	Chevrolet		4.3L														FI					Call for inventory	50
HCH44AA	Engine Part	Cylinder Head	415+ *267 CID +513	Chevrolet		4.4L									Overhead Valve	16				CARB					Call for inventory	35
HCH46AA	Engine Part	Cylinder Head	480+ *283 CID +896 NO ACC'	Chevrolet		4.6L									Overhead Valve	16				C					Call for inventory	50
HCH48AC	Engine Part	Cylinder Head	084+ *292 CID W/REAR BOLT	Chevrolet		4.8L									Overhead Valve	12				C					Call for inventory	75
HCH48ACS	Engine Part	Cylinder Head	084+ *292 CID W/REAR BOLT	Chevrolet		4.8L									Overhead Valve	12				C					Call for inventory	75
HCH48BA	Engine Part	Cylinder Head	862+ *ALSO 5.3L CEN.BLT.V/C	Chevrolet		"4.8L, 5.3L"														FI					Call for inventory	125
HCH50BA	Engine Part	Cylinder Head	"""339+ *307 CID 5/8""""PLUG W/A"""	Chevrolet		5.0L									Overhead Valve	16				C					Call for inventory	35
HCH50CA	Engine Part	Cylinder Head	434+ *+305 CID 6 BT. EXH. MAN. `74-75	Chevrolet		"4.3L, 5.0L"														CARB					Call for inventory	35
HCH50CB	Engine Part	Cylinder Head	416+ *305 CID 7BT.EX.MAN.+	Chevrolet		5.0L														CARB					Call for inventory	35
HCH50CD	Engine Part	Cylinder Head	081+ *305 CID C/B V/COVER	Chevrolet		5.0L														FI					Call for inventory	50
HCH50CJ	Engine Part	Cylinder Head	520+ *305 CID HEART CHAM.+	Chevrolet		5.0L									Overhead Valve	16				FI					Call for inventory	125
HCH50CK	Engine Part	Cylinder Head	059-520 *305 CID D CAMBER	Chevrolet		5.0L									Overhead Valve	16				FI					Call for inventory	125
HCH53AA	Engine Part	Cylinder Head	041+ *327 CID NO ACC'Y HOL	Chevrolet		5.3L									Overhead Valve	16				CARB					Call for inventory	50
HCH53BA	Engine Part	Cylinder Head	862 *ALSO 4.8L CEN.BLT.V/	Chevrolet		5.3L														FI					Call for inventory	125
HCH57AA	Engine Part	Cylinder Head	158 *351 CID V6(GMC)	Chevrolet		5.7L									Overhead Valve	12				CARB					Call for inventory	150
HCH57BA	Engine Part	Cylinder Head	"""185+ *350 CID W/13/16""""PLUG"""	Chevrolet		5.7L									Overhead Valve	16				CARB					Call for inventory	60
HCH57BB	Engine Part	Cylinder Head	882+ *350 CID 6BT.EXH.MAN	Chevrolet		5.7L														CARB					Call for inventory	60
HCH57BBH	Engine Part	Cylinder Head	267+ *350 CID H/D 6BT.EX.+	Chevrolet		5.7L														C					Call for inventory	60
HCH57BC	Engine Part	Cylinder Head	114+ *350 CID 7BT.EXH.MAN.	Chevrolet		5.7L																			Call for inventory	60
HCH57BCH	Engine Part	Cylinder Head	114+ *350 CID H/D 7BT.EX.+	Chevrolet		5.7L														FI					Call for inventory	75
HCH57BE	Engine Part	Cylinder Head	"""191+ *350 CID C/B V/C+193,"""	Chevrolet		5.7L														FI					Call for inventory	80
HCH57BJ	Engine Part	Cylinder Head	320+ *C.I.HEART +290	Chevrolet		5.7L														FI					Call for inventory	75
HCH57BK	Engine Part	Cylinder Head	906+ *O16 C.I.4 BOLT INTAKE MAN. `96-00	"GM, Chevrolet"	V8	5.7L	350								Overhead Valve	16	"906, 62"			EFI	1996	2000	CAST	1304	Call for inventory	175
HCH57BL	Engine Part	Cylinder Head	241 *GEN.III 4C/B V/C	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	175
HCH57DA	Engine Part	Cylinder Head	178+ *ALUM.V8 +389 L&R DIF	Chevrolet		5.7L									Twin	32				FI					Call for inventory	200
HCH57PA	Engine Part	Cylinder Head	113+ *350 CID ALUMINUM	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	150
HCH57PB	Engine Part	Cylinder Head	320+ *ALUMINUM HEART	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	175
HCH57PC	Engine Part	Cylinder Head	*RESERVED	Chevrolet																FI					Call for inventory	150
HCH57PD	Engine Part	Cylinder Head	690+ *LT4-ALUM.V8 +902	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	200
HCH57PE	Engine Part	Cylinder Head	806 *ALUM V8 GEN III. LS1	Chevrolet		5.7L														FI					Call for inventory	150
HCH57PEN	Engine Part	Cylinder Head	806 *LS1 ALUM.HEAD NEW	Chevrolet		5.7L														FI					Call for inventory	100
HCH57PG	Engine Part	Cylinder Head	853 *V8 GEN.III LS-1	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	150
HCH57PH	Engine Part	Cylinder Head	005 *ALUM.V8 LS-1	Chevrolet		5.7L									Overhead Valve	16				FI					Call for inventory	150
HCH60AA	Engine Part	Cylinder Head	052+ *366/427 CID NON-A/C	Chevrolet		6.0L														CARB					Call for inventory	75
HCH60AC	Engine Part	Cylinder Head	359+ *366/427 CID W/ A/C	Chevrolet		6.0L																			Call for inventory	100
HCH60AE	Engine Part	Cylinder Head	140 *6.0/7.0L	Chevrolet		6.0L														FI					Call for inventory	75
HCH60BA	Engine Part	Cylinder Head	873 *GEN.III +7.0L CAST I	Chevrolet		6.0L														FI					Call for inventory	150
HCH60BB	Engine Part	Cylinder Head	317 *GEN.III EX.PORTS 1 1	Chevrolet		6.0L														FI					Call for inventory	150
HCH62AA	Engine Part	Cylinder Head	901 *DIESEL COURSE THREAD	Chevrolet		6.2L														DIESEL					Call for inventory	150
HCH62AB	Engine Part	Cylinder Head	299 *DIESEL FINE THREAD	Chevrolet		6.2L														DIESEL					Call for inventory	150
HCH62AC	Engine Part	Cylinder Head	062 *DIESEL	Chevrolet		6.2L									Overhead Valve	16				DIESEL					Call for inventory	150
HCH62AD	Engine Part	Cylinder Head	162 *DIESEL	Chevrolet		6.2L									Overhead Valve	16				DIESEL					Call for inventory	150
HCH65AA	Engine Part	Cylinder Head	567+ *90< INT.BOLTS 6.2/6.	Chevrolet		6.5L														DIESEL					Call for inventory	150
HCH65AB	Engine Part	Cylinder Head	567 *DIESEL 60<INT.BOLTS	Chevrolet		6.5L														DIESEL					Call for inventory	150
HCH66AA	Engine Part	Cylinder Head	063+ *396 CID BIG BLOCK	Chevrolet		6.6L									Overhead Valve	16				CARB					Call for inventory	75
HCH66BA	Engine Part	Cylinder Head	920+ *400 CID 6BT.EXH.SM.V	Chevrolet		6.6L														CARB					Call for inventory	60
HCH66BB	Engine Part	Cylinder Head	882+ *400 CID 6BT.EX.LRG.V	Chevrolet		6.6L														CARB					Call for inventory	60
HCH66BC	Engine Part	Cylinder Head	624+ *400 CID 7BT.EXH.SM.V	Chevrolet		6.6L														CARB					Call for inventory	60
HCH66BD	Engine Part	Cylinder Head	624+ *400 CID 7BT.EX.LRG.V	Chevrolet		6.6L														CARB					Call for inventory	60
HCH66DA	Engine Part	Cylinder Head	872 *DURAMAX 6600 DIESEL	Chevrolet		6.6L									Overhead Valve	32									Call for inventory	300
HCH74AA	Engine Part	Cylinder Head	292 *454 CID RND.INT.PORT	Chevrolet		7.4L														C					Call for inventory	90
HCH74AC	Engine Part	Cylinder Head	049+ *454 CID OVAL PORT 23	Chevrolet		7.4L														CARB					Call for inventory	90
HCH74AD	Engine Part	Cylinder Head	045+ *454 CID ROUND PORT +	Chevrolet		7.4L														CARB					Call for inventory	100
HCH74AE	Engine Part	Cylinder Head	156 *454 CID	Chevrolet		7.4L									Overhead Valve	16				FI					Call for inventory	90
HCH74AF	Engine Part	Cylinder Head	241+ *454 CID VORTEC +279	Chevrolet		7.4L														FI					Call for inventory	150
HCH81AA	Engine Part	Cylinder Head	162 *VORTEC NO H2O / X/O	Chevrolet		8.1L									Overhead Valve	16				FI					Call for inventory	150
HCH82AA	Engine Part	Cylinder Head	088 *502 CID MAGNUM GEN.V	Chevrolet		8.2L									Overhead Valve	16				FI					Call for inventory	150
HCU59A	Engine Part	Cylinder Head	400+ *O12 CUMMINS/CHRY. DIESEL	"Cummins, Chrysler"		5.9L									Overhead Valve	12				DIESEL					Call for inventory	250
HCU59B	Engine Part	Cylinder Head	3627 *O24 DIESEL/CHRYSLER TURB	"Cummins, Chrysler"		5.9L									Overhead Valve	24				D					Call for inventory	300
HCU95A	Engine Part	Cylinder Head	*--- CUMMINS	"Cummins, Chrysler"		9.5L																			Call for inventory	250
HDA16A	Engine Part	Cylinder Head	871 *DAEWOO	Daewoo		1.6L									Twin	16				FI					Call for inventory	90
HDA20A	Engine Part	Cylinder Head	"""DAEWOO, DOHC 16V"""	Daewoo		1.6L														FI					Call for inventory	90
HDC20A	Engine Part	Cylinder Head	"""737 *3 OF 10 V/C BOLTS=8MM, SOHC 16V"""	"Dodge, Chrysler"		2.0L														FI					Call for inventory	75
HDC20B	Engine Part	Cylinder Head	"""737 *8MM V/C BOLTS (X10), SOHC 16V"""	"Dodge, Chrysler"		2.0L														FI					Call for inventory	75
HDC20C	Engine Part	Cylinder Head	737 *DRILLED BOSS LEFT SI	"Dodge, Chrysler"		2.0L									Single	16				FI					Call for inventory	75
HDC20D	Engine Part	Cylinder Head	"""086 *LEFT-SIDE INTAKE PORTS, DOHC 16V"""	"Dodge, Chrysler"		2.0L														FI					Call for inventory	100
HDC20E	Engine Part	Cylinder Head	"""867 *RIGHT-SIDE INTAKE PORTS, DOHC 16V"""	"Dodge, Chrysler"		2.0L														FI					Call for inventory	100
HDC22B	Engine Part	Cylinder Head	"""445+ *10MM BOLTS, +655, SOHC 8V"""	"Dodge, Chrysler"		2.2L														C					Call for inventory	75
HDC22D	Engine Part	Cylinder Head	"""287 *FLAT FOLLOWERS, SOHC 8V"""	"Dodge, Chrysler"		2.2L														FI					Call for inventory	75
HDC24A	Engine Part	Cylinder Head	"""086+ *OBLONG EXH. PORTS+, DOHC 16V"""	"Dodge, Chrysler"		2.4L														FI					Call for inventory	100
HDC24B	Engine Part	Cylinder Head	"""086AB*RECTANGULAR EXH. PORTS, DOHC 16V"""	"Dodge, Chrysler"		2.4L														FI					Call for inventory	100
HDC24C	Engine Part	Cylinder Head	780 *MAY BE USED IN 2.0L'	"Dodge, Chrysler"		2.4L									Twin	16				FI					Call for inventory	100
HDC25A	Engine Part	Cylinder Head	"""782 *FLAT 2.2/2.5L, SOHC 8V"""	"Dodge, Chrysler"		"2.2L, 2.5L"																			Call for inventory	90
HDC25B	Engine Part	Cylinder Head	"""782 *ROLLERS 2.2/2.5L, SOHC 8V"""	"Dodge, Chrysler"		"2.2L, 2.5L"																			Call for inventory	90
HDC27A	Engine Part	Cylinder Head	"""697+ *V6 L=BL,697, R=AR,97, DOHC 24V"""	"Dodge, Chrysler"		2.7L														FI					Call for inventory	100
HDC32A	Engine Part	Cylinder Head	894R *V6- 9 LOBE CAM- SOHC 24V- 7 BOLTS AT RR 98-01	"Dodge, Chrysler"		"3.2L, 3.5L"														#4663894R					Call for inventory	100
HDC33A	Engine Part	Cylinder Head	"""015 *V6 ALUM.HEAD +3.8L, OHV 12V"""	"Dodge, Chrysler"		"3.3L, 3.8L"														FI					Call for inventory	75
HDC33B	Engine Part	Cylinder Head	"""510 *V6 ALUM.HEAD +3.8L, OHV 12V"""	"Dodge, Chrysler"		"3.3L, 3.8L"														FI					Call for inventory	75
HDC33C	Engine Part	Cylinder Head	"""183 *V6 ALUM.HEAD +3.8L, OHV 12V"""	"Dodge, Chrysler"		"3.3L, 3.8L"														FI					Call for inventory	75
HDC33D	Engine Part	Cylinder Head	"""688AA*V6 ALUM HEAD +3.8L, OHV 12V"""	"Dodge, Chrysler"		"3.3L, 3.8L"														FI					Call for inventory	75
HDC35A	Engine Part	Cylinder Head	"""807 *V6, CLOVER- SOHC 24V 92-94"""	"Dodge, Chrysler"		3.5L														#4315807					Call for inventory	75
HDC35B	Engine Part	Cylinder Head	"""490A *V6, 12 LOBE CAM- SOHC 24V 95-97"""	"Dodge, Chrysler"		3.5L														#4663490A					Call for inventory	75
HDC35D	Engine Part	Cylinder Head	894 *V6- 9 LOBE CAM- SOHC 24V- 8 BOLTS AT RR 00-05	"Dodge, Chrysler"		"3.2L, 3.5L"														#4663894R & T					Call for inventory	100
HDC35E	Engine Part	Cylinder Head	"""894AC*V6, 9 LOBE CAM- SOHC 24V 07+"""	"Dodge, Chrysler"		3.5L														#4663894AC					Call for inventory	100
HDC37B	Engine Part	Cylinder Head	"""169+ *SPARK PLUG TUBES, 225CID I6 `64-74"""	"Dodge, Chrysler"		3.7L														C					Call for inventory	50
HDC37C	Engine Part	Cylinder Head	"""600+ *ADJ. 225 CID I6, +447-, OHV 12V"""	"Dodge, Chrysler"		3.7L														C					Call for inventory	50
HDC37D	Engine Part	Cylinder Head	"""778 *HYD. 225 CID I6, TRUCK, OHV 12V"""	"Dodge, Chrysler"		3.7L														C					Call for inventory	70
HDC37F	Engine Part	Cylinder Head	778 *O12 ADJ.225CID CARS	"Dodge, Chrysler"																C					Call for inventory	70
HDC37G	Engine Part	Cylinder Head	983/4*S12 JEEP/DAKOTA V6 L/R	"Dodge, Chrysler"																FI					Call for inventory	100
HDC39B	Engine Part	Cylinder Head	"""709+ *V6 TRUCKS +979, OHV 12V"""	"Dodge, Chrysler"		3.9L														FI					Call for inventory	50
HDC39C	Engine Part	Cylinder Head	"""680 *V6 MAGNUM, OHV 12V"""	"Dodge, Chrysler"		3.9L														FI					Call for inventory	125
HDC40A	Engine Part	Cylinder Head	"""? *V6, 9 LOBE CAM- SOHC 24V 07+"""	"Dodge, Chrysler"		4.0L														#?					Call for inventory	100
HDC47A	Engine Part	Cylinder Head	U	"Dodge, Chrysler"																FI					Call for inventory	150
HDC52A	Engine Part	Cylinder Head	"""675+ 318 CID EARLY-NO AIR P, OHV 16V"""	"Dodge, Chrysler"		5.2L														C					Call for inventory	40
HDC52AA	Engine Part	Cylinder Head	"""341+ *ADJ. OLD 318 CID, OHV 16V"""	"Dodge, Chrysler"		5.2L														C					Call for inventory	40
HDC52B	Engine Part	Cylinder Head	277 *O16 WATER X-OVER 318 CID	"Dodge, Chrysler"																C					Call for inventory	40
HDC52C	Engine Part	Cylinder Head	"""163+ *NO AIRHOLES, 318 CID D, OHV 16V"""	"Dodge, Chrysler"		5.2L														C					Call for inventory	40
HDC52D	Engine Part	Cylinder Head	"""163+ *W/ SMOG HOLES, 318 CID D, OHV 16V"""	"Dodge, Chrysler"		5.2L														C					Call for inventory	35
HDC52F	Engine Part	Cylinder Head	"""302+ *318 CID HEART CHAMBER, OHV 16V"""	"Dodge, Chrysler"		5.2L														FI					Call for inventory	60
HDC52G	Engine Part	Cylinder Head	"""671+ *MAGNUM BDR'S, OHV 16V"""	"Dodge, Chrysler"		5.2L														FI					Call for inventory	150
HDC56AA	Engine Part	Cylinder Head	894 *O16 340 CID V8	"Dodge, Chrysler"																C					Call for inventory	75
HDC57AA	Engine Part	Cylinder Head	616AJ*O16 HEMI MAGNUM SRT-8 S/	"Dodge, Chrysler"																FI					Call for inventory	200
HDC59A	Engine Part	Cylinder Head	587+ *O16 NO AIR PADS-EARLY	"Dodge, Chrysler"																C					Call for inventory	75
HDC59AA	Engine Part	Cylinder Head	"""943+ *361/ 413 CID V8 7 BOLT, OHV 16V"""	"Dodge, Chrysler"		"5.9L, 6.8L"														C					Call for inventory	75
HDC59B	Engine Part	Cylinder Head	"""974+ *AIR PADS NOT DRILLED, OHV 16V"""	"Dodge, Chrysler"		5.9L														C					Call for inventory	75
HDC59C	Engine Part	Cylinder Head	"""974+ *AIR HOLES 360 CID, OHV 16V"""	"Dodge, Chrysler"		5.9L														C					Call for inventory	75
HDC59D	Engine Part	Cylinder Head	"""345+ *360 CID V8 +308 RND.P, OHV 16V"""	"Dodge, Chrysler"		5.9L														FI					Call for inventory	75
HDC59E	Engine Part	Cylinder Head	"""671+ *MAGNUM 360 CID V8, OHV 16V"""	"Dodge, Chrysler"		5.9L														FI					Call for inventory	150
HDC63A	Engine Part	Cylinder Head	516+ *O16 383 CID D CHAMBER	"Dodge, Chrysler"																C					Call for inventory	75
