Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CID	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
106A740T01	Transmission Part	Valve Body	VALVE BODY	Ford															FMX	no notes available yet				600	Call for inventory	22
106A740T02	Transmission Part	Valve Body	VALVE BODY	Ford															FMX	no notes available yet				600	Call for inventory	22
10A500T01	Transmission Part	Pump	PUMP-	GM															TAAT	no notes available yet				600	Call for inventory	50
10A529T91			SHAFT-STATOR SUPPORT	GM															TAAT	no notes available yet				600	Call for inventory	22
10A550T01			DRUM-4TH CLUTCH	GM															TAAT	no notes available yet				600	Call for inventory	35
10A552T02			DRUM-2ND&3RD CLUTCH	GM															TAAT	no notes available yet				600	Call for inventory	35
10A554T03			DRUM-1ST CLUTCH	GM															TAAT	no notes available yet				600	Call for inventory	35
10A554T04			DRUM-1ST CLUTCH	GM															TAAT	no notes available yet				600	Call for inventory	35
10A662T41			HUB-1ST GEAR	GM															TAAT	no notes available yet				600	Call for inventory	14
10A672T20			MAINSHAFT-INPUT SOHC	GM															TAAT	no notes available yet				600	Call for inventory	18
10A672T22			MAINSHAFT-INPUT DOHC	GM															TAAT	no notes available yet				600	Call for inventory	20
10A672T23			MAINSHAFT-INPUT SOHC	GM															TAAT	no notes available yet				600	Call for inventory	22
10A672T24			MAINSHAFT-INPUT DOHC	GM															TAAT	no notes available yet				600	Call for inventory	22
10A676T61			SHAFT-COUNTR/PIN./OUTPT.	GM															TAAT	no notes available yet				600	Call for inventory	16
10A676T62			SHAFT-COUNTR/PIN./OUTPT.	GM															TAAT	no notes available yet				600	Call for inventory	16
10A676T63			SHAFT-COUNTER/PINION/OUT	GM															TAAT	no notes available yet				600	Call for inventory	18
10A715T21			FINAL DRIVE	GM															TAAT	no notes available yet				600	Call for inventory	95
10A715T22			FINAL DRIVE	GM															TAAT	no notes available yet				600	Call for inventory	95
10A740A	Transmission Part	Valve Body	VALVE BODY-5VALVE #1 or	GM															TAAT	no notes available yet				600	Call for inventory	65
10A740B	Transmission Part	Valve Body	TAAT *VALVE BODY-4VALVE #2+ `93+	Saturn														4	TAAT					600	Call for inventory	40
10A750B	Transmission Part	Bell Housing	BELL-NO RAISED BOSS AT 3	GM															TAAT	no notes available yet				600	Call for inventory	1
10A835T11			HUB-SELECTOR-FRWD/REVERS	GM															TAAT	no notes available yet				600	Call for inventory	18
124A500B	Transmission Part	Pump	6T40 *6T40 PUMP #24245547 FWD	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A554B	Transmission Part	Drum	6T40E* FORWARD DRUM #I-11	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A555B			6T40E* DIRECT CLUTCH LUG=36 OFFSET HOLES	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A580B	Transmission Part	Planetary	6T40E * OVER DRIVE PLANET 4 PINION	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A582B	Transmission Part	Planetary	6T40E* FRONT PLANET 4 PIN WING WASHERS	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A582BS	Transmission Part	Planetary	6T40E*FRONT PLANET W/FRONT RING GEAR	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A584B	Transmission Part	Planetary	6T40 *REAR PLANET 3 PINION W/3 WING 8LUG	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A584BS	Transmission Part	Planetary	6T40E*REAR PLANET/ REAR RING GEAR SET	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A590B			6T40E *OVER DRIVE RING GEAR 1.044	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A592B			"6T40E *FRONT RING GEAR 1.206"" TALL"	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A594B			"6T40E *FRONT RING GEAR 1.206"" TALL"	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A598B			6T40 *FINAL DRIVE RING GEAR	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A610B			6T40E *OVER DRIVE SUN GEAR W/ BUSHING	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A618B			6T40 *FINAL DRIVE SUN GERAR 41 TOOTH	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A700B	Transmission Part	Chain	6T40E *CHAIN 40 LINK 1.050	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A705B			6T40E* DRIVE SPROCKET 46 TOOTH	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A706B			6T40E* DRIVE SPROCKET 42 TOOTH	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
124A715B	Transmission Part	Differentials	6T40 *DIFFERENTIAL	"GM, Buick, Chevrolet, Daewoo, Opel, Saturn"														6	6T40E		2008			600		
12A022A			BAND-KICKDOWN-360CID-1.8	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	2
12A022AA			"BAND-FRONT/KICKDOWN-1.4"""""	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	14
12A022AB			"BAND-FRONT/KICKDOWN-1.4"""""	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	2
12A022B			"BAND-FRONT/KICKDOWN-1.6"""""	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	2
12A024			"BAND-REVERSE-6 CYL.-1.4"""""	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	14
12A024A			"BAND-REVERSE-8/10 CYL-2"""""	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	2
12A142			P.PLATE-O/D DIR.CL.(FRON	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	1
12A146			P.PLATE-DIRECT&FORWARD-F	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	1
12A149			P.PLATE-FORWARD(BEVELED)	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	1
12A219			THRUSTPLATE-O/D CL.HUB 2	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	1
12A219A			THRUSTPLATE-O/D CL.HUB 2	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	1
12A415CN																								600		
12A500	Transmission Part	Pump	"THICK HUB,NO DRUM RING"	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	35
12A500A	Transmission Part	Pump	PUMP-1 RING-W/FRNT.CVR.B	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500AB	Transmission Part	Pump																						600		
12A500AD	Transmission Part	Pump																						600		
12A500AF	Transmission Part	Pump															7130							600		
12A500AH																								600		
12A500AJ	Transmission Part	Pump															8268							600		
12A500AL	Transmission Part	Pump															8996AA							600		
12A500B	Transmission Part	Pump	PUMP-1 RING	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500C	Transmission Part	Pump	PUMP-COLT	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500DA	Transmission Part	Pump	PUMP-2 RING-NO L/U(2BALL	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500DC	Transmission Part	Pump	PUMP-COLT/POSTAL	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500DE	Transmission Part	Pump	PUMP-NO L/U-2 BUSH DRUM	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	45
12A500EA	Transmission Part	Pump	PUMP-L/U(3BALLS)2 LUG DR	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	35
12A500EB	Transmission Part	Pump	PUMP-L/U 1BUSH DRUM-2FLA	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	40
12A500EC	Transmission Part	Pump	PUMP-L/U-2 BSH.DRM.2FLAT	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	50
12A500ECR																								600		
12A500ED	Transmission Part	Pump	PUMP-L/U-W/2BUSH-2 LUG D	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	50
12A500EF	Transmission Part	Pump	PUMP-L/U-W/2BUSH-3SUMP P	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	45
12A520AA			STATOR-2 BALL 1 RING	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	20
12A520AB			STATOR-2 BALL 2 RING	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A520C			STATOR-3 BALL 1 BUSH	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	1
12A520CC			STATOR-3 BALL 2 BUSH(13H	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	10
12A520CG			STATOR-3 BALL 2 BUSH 14H	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	10
12A551			"DRUM-O/D DIRECT .485""""TO"	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	20
12A551A			"DRUM-O/D DIRECT .350""""TO"	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	20
12A554AAK	Transmission Part	Drum	DRUM/SHAFT-3CL.1RING-LON	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	28
12A554ABK	Transmission Part	Drum	DRUM/SHAFT-4CL.1RING-LON	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	28
12A554BBK	Transmission Part	Drum	DRUM/SHAFT-FRWRD/INPUT-3	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554BCK	Transmission Part	Drum	DRUM/SHAFT-FRWRD/INPUT-4	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554CAK	Transmission Part	Drum	DRUM/SHAFT-4CL.W/3 TAB W	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554CK	Transmission Part	Drum	DRUM/SHAFT-4CL.2RING-LON	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554DK	Transmission Part	Drum	DRUM/SHAFT-INPUT-4CL.L/U	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554EK	Transmission Part	Drum	DRUM/SHAFT-INPUT-4CL.L/U	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	26
12A554FAK	Transmission Part	Drum	DRUM/SHAFT-4CL.1RING-27S	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554FK	Transmission Part	Drum	DRUM/SHAFT-3CL.1RING-27S	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554GK	Transmission Part	Drum	DRUM/SHAFT-3CL.2RING-27S	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A554HAK	Transmission Part	Drum	DRUM/SHAFT-4CL.2RING-23S	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
